method,seed,degradation,level,auc,pr_auc,f1,threshold
pbip_full,1,gaussian_noise,1,0.9951409135082605,0.9853966027074221,0.93,0.618535578250885
pbip_full,1,gaussian_noise,2,0.9941946703493427,0.9833050503226687,0.9306930693069307,0.618535578250885
pbip_full,1,gaussian_noise,3,0.9898982149250678,0.9752626372208821,0.9353233830845771,0.618535578250885
pbip_full,1,gaussian_noise,4,0.985371592245921,0.9633588847758988,0.9154228855721394,0.618535578250885
pbip_full,1,gaussian_noise,5,0.978389852181474,0.9434730181088921,0.882051282051282,0.618535578250885
pbip_full,1,gaussian_blur,1,0.995831415272876,0.9864573414306681,0.9292929292929293,0.618535578250885
pbip_full,1,gaussian_blur,2,0.996573065316352,0.9881353423025412,0.9292929292929293,0.618535578250885
pbip_full,1,gaussian_blur,3,0.996803232571224,0.9876442710621657,0.9441624365482234,0.618535578250885
pbip_full,1,gaussian_blur,4,0.9950641910899698,0.9809092174557703,0.92,0.618535578250885
pbip_full,1,gaussian_blur,5,0.9873919492609075,0.9611138820521553,0.8780487804878049,0.618535578250885
pbip_full,1,window_shift,1,0.9954989514602833,0.9862062687275771,0.93,0.618535578250885
pbip_full,1,window_shift,2,0.9959081376911667,0.9867066314169559,0.934010152284264,0.618535578250885
pbip_full,1,window_shift,3,0.996189453224899,0.9866836988406269,0.934010152284264,0.618535578250885
pbip_full,1,window_shift,4,0.9962406015037595,0.9864825546562972,0.9292929292929293,0.618535578250885
pbip_full,1,window_shift,5,0.9959081376911667,0.9852760400869519,0.9292929292929293,0.618535578250885
pbip_full,1,jpeg,1,0.9951920617871209,0.9857720354564619,0.93,0.618535578250885
pbip_full,1,jpeg,2,0.9953966549025626,0.9863934272796908,0.9253731343283582,0.618535578250885
pbip_full,1,jpeg,3,0.9945015600225052,0.9840622186744157,0.92,0.618535578250885
pbip_full,1,jpeg,4,0.994834023835098,0.9837096441945548,0.92,0.618535578250885
pbip_full,1,jpeg,5,0.9934018720270062,0.9776538164267754,0.9387755102040817,0.618535578250885
pbip_full,1,resample,1,0.9963684722009105,0.9877274326477363,0.9292929292929293,0.618535578250885
pbip_full,1,resample,2,0.9965474911769219,0.9877537071249813,0.9292929292929293,0.618535578250885
pbip_full,1,resample,3,0.9966497877346426,0.9873474405984016,0.934010152284264,0.618535578250885
pbip_full,1,resample,4,0.9960360083883177,0.9843734790032173,0.9346733668341709,0.618535578250885
pbip_full,1,resample,5,0.9753465295892794,0.9325164193361062,0.8165137614678899,0.618535578250885
