method,method_zh,seed,degradation,degradation_zh,level,auc,pr_auc,f1,threshold,auc_drop_from_clean,pr_auc_drop_from_clean,f1_drop_from_clean
resnet18_baseline,ResNet18（无增强）,1,jpeg,JPEG 压缩,1,0.9870339113088844,0.9635206246333768,0.8930232558139535,0.0099012656137347,0.0002045931154416314,6.72969208344032e-05,0.004173005868289503
resnet18_baseline,ResNet18（无增强）,1,jpeg,JPEG 压缩,2,0.9865991509385708,0.96189822514635,0.8837209302325582,0.0099012656137347,0.0006393534857552785,0.0016896964078612076,0.013475331449684824
resnet18_baseline,ResNet18（无增强）,1,jpeg,JPEG 压缩,3,0.986241112986548,0.9587411067481576,0.8878504672897196,0.0099012656137347,0.0009973914377779947,0.004846814806053645,0.009345794392523366
resnet18_baseline,ResNet18（无增强）,1,jpeg,JPEG 压缩,4,0.9867525957751522,0.9607732910142156,0.8785046728971962,0.0099012656137347,0.0004859086491738607,0.002814630539995644,0.01869158878504673
resnet18_baseline,ResNet18（无增强）,1,jpeg,JPEG 压缩,5,0.9851669991304792,0.956872868425508,0.8679245283018868,0.0099012656137347,0.0020715052938468093,0.006715053128703241,0.029271733380356157
resnet18_baseline,ResNet18（无增强）,1,resample,下采样,1,0.9893867321364636,0.9695902961162318,0.8878504672897196,0.0099012656137347,-0.002148227712137518,-0.006002374562020574,0.009345794392523366
resnet18_baseline,ResNet18（无增强）,1,resample,下采样,2,0.9887729527901384,0.9667834817476824,0.8796296296296297,0.0099012656137347,-0.001534448365812402,-0.003195560193471114,0.01756663205261333
resnet18_baseline,ResNet18（无增强）,1,resample,下采样,3,0.9884916372564064,0.9666683613148666,0.8727272727272727,0.0099012656137347,-0.0012531328320803947,-0.003080439760655307,0.024468988954970294
resnet18_baseline,ResNet18（无增强）,1,resample,下采样,4,0.9819958058411336,0.9484173213136108,0.8050847457627118,0.0099012656137347,0.005242698583192484,0.015170600240600463,0.09211151591953115
resnet18_baseline,ResNet18（无增强）,1,resample,下采样,5,0.9487238504424326,0.8687184666761468,0.6418918918918919,0.0099012656137347,0.038514653981893465,0.09486945487806442,0.2553043697903511
resnet18_augmented,ResNet18（强增强）,1,clean,干净数据,0,0.9949363203928188,0.9860503188287268,0.9142857142857144,0.2202884256839752,0.0,0.0,0.0
resnet18_augmented,ResNet18（强增强）,1,low_contrast,低对比度,1,0.99511533936883,0.9863450140368336,0.9142857142857144,0.2202884256839752,-0.00017901897601124706,-0.00029469520810676553,0.0
resnet18_augmented,ResNet18（强增强）,1,low_contrast,低对比度,2,0.9951920617871208,0.9843993023980422,0.9142857142857144,0.2202884256839752,-0.000255741394302067,0.0016510164306846598,0.0
resnet18_augmented,ResNet18（强增强）,1,low_contrast,低对比度,3,0.993990077233901,0.9786941076119025,0.8952380952380953,0.2202884256839752,0.0009462431589177811,0.007356211216824393,0.01904761904761909
resnet18_augmented,ResNet18（强增强）,1,low_contrast,低对比度,4,0.980589228172472,0.9464809367329372,0.8502415458937198,0.2202884256839752,0.014347092220346802,0.03956938209578964,0.06404416839199456
